id,italian,english
sun,Sole,Sun
mercury,Mercurio,Mercury
venus,Venere,Venus
earth,Terra,Earth
moon,Luna,Moon
mars,Marte,Mars
phobos,Phobos,Phobos
deimos,Deimos,Deimos
jupiter,Giove,Jupiter
io,Io,Io
europa,Europa,Europa
ganymede,Ganimede,Ganymede
callisto,Callisto,Callisto
saturn,Saturno,Saturn
enceladus,Encelado,Enceladus
titan,Titano,Titan
uranus,Urano,Uranus
neptune,Nettuno,Neptune
pluto,Plutone,Pluto
